model,threshold,sensitivity,specificity,precision,youden_j,predicted_positive_rate
Random Forest,0.35000000000000003,0.3774047529234251,0.9291908396946564,0.46319444444444446,0.30659559261808145,0.11352885525070956
Random Forest,0.36000000000000004,0.35873255375330065,0.934412213740458,0.4696296296296296,0.2931447674937586,0.10643330179754021
Random Forest,0.37,0.3419464353074312,0.9396641221374046,0.478490366851412,0.28161055744483576,0.09957426679280984
Random Forest,0.38,0.3234628442097322,0.9437557251908397,0.4821478774247962,0.267218569400572,0.09347734678860507
Random Forest,0.39,0.30686533383628817,0.9481221374045802,0.48917618761274806,0.2549874712408684,0.08740670661200463
Random Forest,0.4,0.2906450396076952,0.951969465648855,0.4948619139370585,0.24261450525655026,0.08183538315988648
Random Forest,0.41000000000000003,0.2727272727272727,0.9551755725190839,0.4962251201098147,0.22790284524635673,0.07657941763902029
Random Forest,0.42000000000000004,0.25952470765748775,0.9585954198473282,0.5036603221083455,0.2181201275048159,0.07179648901503206
Random Forest,0.43,0.24764239909468125,0.9620152671755725,0.5134923738756355,0.20965766627025384,0.06719751918427415
Random Forest,0.44,0.23085628064881178,0.9653435114503817,0.5188639253921153,0.19619979209919336,0.06199411331861663
Random Forest,0.45,0.21746510750660128,0.9683664122137404,0.5267245317496574,0.18583151972034173,0.057526542625880375
Random Forest,0.46,0.20256506978498678,0.9715725190839695,0.5356608478802992,0.17413758886895625,0.05269105434668349
Random Forest,0.47000000000000003,0.1901169370049038,0.9741984732824428,0.5439827307069617,0.16431541028734653,0.048696520550825184
Random Forest,0.48000000000000004,0.17427385892116182,0.9765190839694656,0.5457767277023036,0.1507929428906274,0.04449174813413224
Random Forest,0.49,0.16069407770652583,0.9789007633587786,0.5521710952689566,0.1395948410653045,0.040549773993482606
Random Forest,0.5,0.14805733685401734,0.9813435114503817,0.5623209169054442,0.12940084830439913,0.036686639335645956
Random Forest,0.51,0.13674085250848736,0.9835725190839695,0.5740300870942201,0.12031337159245692,0.033191422264269944
Random Forest,0.52,0.12844209732176537,0.985679389312977,0.5921739130434782,0.11412148663474242,0.030221801744980552
Random Forest,0.53,0.11750282912108638,0.9876030534351145,0.6054421768707483,0.10510588255620079,0.02704194260485651
Random Forest,0.54,0.10580912863070539,0.9894656488549618,0.6192052980132451,0.09527477748566726,0.023809523809523808
Random Forest,0.55,0.0956242927197284,0.9903206106870229,0.6152912621359223,0.08594490340675143,0.021654577945968676
Random Forest,0.56,0.08449641644662391,0.9914503816793893,0.6153846153846154,0.07594679812601313,0.01913171449595291
Random Forest,0.5700000000000001,0.07808374198415692,0.9927022900763359,0.6339969372128637,0.07078603206049294,0.01716072742562809
Random Forest,0.5800000000000001,0.07204828366654092,0.9937404580152672,0.6507666098807495,0.06578874168180815,0.015426258803742248
Random Forest,0.59,0.06544700113164843,0.9946564885496183,0.6647509578544061,0.060103489681266664,0.013718070009460738
Random Forest,0.6,0.05827989437947944,0.9952977099236642,0.6673866090712743,0.05357760430314351,0.012167560180805214
Random Forest,0.61,0.05130139569973595,0.9961526717557252,0.6834170854271356,0.0474540674554611,0.010459371386523704
Random Forest,0.62,0.044134288947566956,0.996824427480916,0.6923076923076923,0.04095871642848303,0.00888258173026385
Random Forest,0.63,0.03809883062995096,0.9973740458015267,0.7013888888888888,0.03547287643147756,0.007568590350047304
Random Forest,0.64,0.03017729158807997,0.9978320610687023,0.6926406926406926,0.02800935265678217,0.006070640176600441
Random Forest,0.65,0.024330441342889475,0.998381679389313,0.7087912087912088,0.022712120732202523,0.004782928623988227
Random Forest,0.66,0.017540550735571484,0.9989007633587786,0.7209302325581395,0.016441314094350234,0.0033900977609586883
Random Forest,0.67,0.013391173142210487,0.9993282442748092,0.7634408602150538,0.01271941741701954,0.0024440239672027754
Random Forest,0.68,0.00999622783855149,0.9995419847328244,0.7794117647058824,0.009538212571375881,0.0017870282770945023
Random Forest,0.6900000000000001,0.008298755186721992,0.9996335877862595,0.7857142857142857,0.00793234297298162,0.0014716703458425313
Random Forest,0.7000000000000001,0.0067898906073179935,0.9997251908396947,0.8,0.006515081447012738,0.0011825922421948912
Random Forest,0.7100000000000001,0.004526593738211996,0.9998778625954199,0.8571428571428571,0.004404456333631845,0.0007358351729212656
Random Forest,0.72,0.003206337231233497,0.9999083969465649,0.85,0.003114734177798395,0.0005255965520866183
